20141113,1,124
20141114,2,20
20141115,3,11
20141116,4,15
20141117,5,33
20141118,6,21
20141119,7,12
20141120,8,1
20141122,9,14
20141123,10,6
20141124,11,40
20141125,12,4
20141126,13,5
20141127,14,6
20141128,15,1
20141129,16,3
20141130,17,3
20141201,18,15
20141202,19,5
20141203,20,12
20141204,21,3
20141205,22,8
20141206,23,6
20141207,24,27
20141208,25,30
20141209,26,5
20141210,27,16
20141211,28,26
20141212,29,7
20141213,30,6
20141214,31,16
20141215,32,15
20141216,33,5
20141217,34,62
20141218,35,2
20141219,36,4
20141220,37,4
20141221,38,11
20141222,39,3
20141223,40,17
20141224,41,8
20141225,42,15
20141226,43,4
20141227,44,17
20141228,45,8
20141229,46,14
20141230,47,16
20150101,48,19
20150102,49,4
20150103,50,2
20150104,51,5
20150105,52,51
20150106,53,10
20150107,54,12
20150108,55,3
20150109,56,72
20150110,57,4
20150111,58,10
20150112,59,22
20150113,60,3
20150114,61,22
20150115,62,60
20150116,63,104
20150117,64,4
20150118,65,11
20150119,66,4
20150120,67,8
20150121,68,2
20150122,69,16
20150123,70,194
20150124,71,28
20150125,72,11
20150126,73,2
20150127,74,4
20150128,75,16
20150129,76,12
20150130,77,82
20150131,78,38
20150201,79,16
20150202,80,7
20150204,81,20
20150205,82,58
20150206,83,6
20150207,84,4
20150208,85,33
20150209,86,4
20150210,87,4
20150211,88,6
20150212,89,50
20150213,90,90
20150214,91,9
20150215,92,28
20150216,93,2
20150217,94,3
20150218,95,15
20150219,96,70
20150220,97,4
20150222,98,22
20150223,99,6
20150224,100,12
20150225,101,61
20150226,102,12
20150227,103,16
20150228,104,40
20150301,105,14
20150302,106,2
20150303,107,5
20150304,108,4
20150305,109,18
20150306,110,1
20150307,111,15
20150308,112,27
20150309,113,2
20150310,114,27
20150311,115,1
20150312,116,14
20150313,117,29
20150314,118,10
20150315,119,13
20150316,120,11
20150318,121,73
20150319,122,4
20150320,123,8
20150321,124,2
20150322,125,8
20150323,126,6
20150324,127,34
20150325,128,12
20150326,129,221
20150327,130,303
20150328,131,114
20150329,132,4
20150330,133,12
20150401,134,2
20150402,135,10
20150403,136,2
20150405,137,69
20150406,138,9
20150407,139,42
20150408,140,28
20150409,141,304
20150410,142,6
20150411,143,16
20150412,144,24
20150413,145,10
20150414,146,44
20150415,147,30
20150416,148,4
20150417,149,4
20150418,150,4
20150419,151,14
20150421,152,20
20150422,153,4
20150423,154,47
20150424,155,3
20150425,156,8
20150426,157,2
20150427,158,16
20150428,159,22
20150429,160,17
20150501,161,4
20150502,162,2
20150503,163,14
20150504,164,6
20150505,165,4
20150506,166,8
20150507,167,4
20150508,168,22
20150509,169,8
20150510,170,6
20150511,171,7
20150512,172,2
20150513,173,4
20150514,174,14
20150515,175,22
20150516,176,26
20150517,177,8
20150518,178,4
20150519,179,19
20150520,180,14
20150521,181,12
20150522,182,4
20150523,183,4
20150524,184,16
20150525,185,18
20150527,186,12
20150528,187,20
20150529,188,411
20150530,189,5
20150531,190,20
20150601,191,16
20150603,192,16
20150604,193,8
20150605,194,982
20150606,195,11
20150607,196,272
20150608,197,2
20150609,198,31
20150610,199,4
20150611,200,4
20150612,201,20
20150613,202,9
20150614,203,2
20150615,204,2
20150616,205,2
20150617,206,14
20150618,207,2
20150619,208,204
20150620,209,1
20150621,210,2
20150622,211,1
20150623,212,32
20150624,213,22
20150625,214,10
20150626,215,14
20150627,216,213
20150628,217,4
20150629,218,20
20150630,219,9
20150701,220,2
20150702,221,168
20150703,222,2
20150704,223,1
20150705,224,145
20150706,225,2
20150707,226,4
20150709,227,14
20150710,228,6
20150711,229,163
20150712,230,4
20150713,231,14
20150714,232,8
20150715,233,6
20150716,234,8
20150717,235,20
20150718,236,5
20150719,237,208
20150720,238,560
20150721,239,8
20150722,240,10
20150723,241,4
20150724,242,6
20150725,243,4
20150726,244,6
20150727,245,13
20150728,246,11
20150729,247,6
20150730,248,19
20150731,249,122
20150801,250,4
20150802,251,13
20150803,252,14
20150804,253,89
20150805,254,4
20150806,255,13
20150807,256,3
20150808,257,3
20150809,258,3
20150811,259,1
20150812,260,1
20150813,261,3
20150814,262,16
20150816,263,18
20150817,264,9
20150818,265,4
20150819,266,5
20150820,267,9
20150821,268,18
20150822,269,17
20150823,270,12
20150824,271,4
20150825,272,4
20150826,273,3
20150827,274,9
20150828,275,2
20150829,276,4
20150831,277,4
20150901,278,3
20150902,279,25
20150903,280,7
20150905,281,8
20150906,282,4
20150907,283,2
20150908,284,6
20150909,285,5
20150910,286,3
20150911,287,2
20150912,288,138
20150913,289,2
20150914,290,58
20150915,291,8
20150916,292,7
20150917,293,3
20150918,294,14
20150919,295,8
20150920,296,2
20150921,297,6
20150922,298,4
20150923,299,18
20150924,300,60
20150925,301,12
20150926,302,22
20150927,303,20
20150928,304,22
20150929,305,4
20150930,306,63
20151001,307,5
20151002,308,14
20151003,309,4
20151004,310,6
20151005,311,12
20151006,312,2
20151007,313,3
20151008,314,1
20151009,315,2
20151010,316,12
20151012,317,57
20151013,318,228
20151014,319,1
20151015,320,43
20151016,321,2
20151019,322,64
20151020,323,2
20151021,324,1
20151022,325,1
20151023,326,8
20151024,327,112
20151025,328,2
20151026,329,60
20151027,330,26
20151028,331,61
20151029,332,3
20151030,333,116
20151031,334,4
20151101,335,116
20151102,336,6
20151104,337,11
20151105,338,9
20151106,339,4
20151107,340,8
20151108,341,6
20151109,342,20
20151110,343,10
20151111,344,21
20151112,345,17
20151113,346,23
20151114,347,2
20151115,348,14
